排名    题号       AC数        题名                                                                            
1439    3660       809        Alice and Bob's Trip                                        
1440    4156       809        Egypt                                                       
1441    5210       809        Delete                                                      
1442    2266       807        How Many Equations Can You Find                             
1443    4394       807        Digital Square                                              
1444    4605       807        Magic Ball Game                                             
1445    3433       806        A Task Process                                              
1446    4286       806        Data Handler                                                
1447    5233       806        Gunner II                                                   
1448    3359       805        Kind of a Blur                                              
1449    3506       805        Monkey Party                                                
1450    3221       804        Brute-force Algorithm                                       
1451    5099       803        Comparison of Android versions                              
1452    2227       802        Find the nondecreasing subsequences                         
1453    5585       802        Numbers                                                     
1454    1400       801        Mondriaan's Dream                                           
1455    4950       801        Monster                                                     
1456    5795       800        A Simple Nim                                                
1457    2425       799        Hiking Trip                                                 
1458    3085       798        Nightmare Ⅱ                                                 
1459    4198       798        Quick out of the Harbour                                    
1460    5000       797        Clone                                                       
1461    5478       797        Can you find it                                             
1462    3987       796        Harry Potter and the Forbidden Forest                       
1463    5630       796        Rikka with Chess                                            
1464    1760       794        A New Tetris Game                                           
1465    4360       793        As long as Binbin loves Sangsang                            
1466    5667       793        Sequence                                                    
1467    5806       792        NanoApe Loves Sequence Ⅱ                                    
1468    4020       790        Ads Proposal                                                
1469    3398       789        String                                                      
1470    4374       789        One hundred layer                                           
1471    5666       789        Segment                                                     
1472    5794       788        A Simple Chess                                              
1473    3706       787        Second My Problem First                                     
1474    4705       787        Y                                                           
1475    4762       787        Cut the Cake                                                
1476    5400       787        Arithmetic Sequence                                         
1477    5676       787        ztr loves lucky numbers                                     
1478    3988       786        Harry Potter and the Hide Story                             
1479    5071       785        Chat                                                        
1480    2328       784        Corporate Identity                                          
1481    2853       784        Assignment                                                  
1482    3650       784        Hot Expo                                                    
1483    5427       784        A problem of sorting                                        
1484    4587       783        TWO NODES                                                   
1485    5978       783        To begin or not to begin                                    
1486    1840       781        Equations                                                   
1487    4107       781        Gangster                                                    
1488    2224       780        The shortest path                                           
1489    5358       778        First One                                                   
1490    5900       778        QSC and Master                                              
1491    3786       775        找出直系亲属                                                      
1492    5534       775        Partial Tree                                                
1493    5831       775        Rikka with Parenthesis II                                   
1494    4424       774        Conquer a New Region                                        
1495    5641       774        King's Phone                                                
1496    5573       773        Binary Tree                                                 
1497    5781       773        ATM Mechine                                                 
1498    4245       772        A Famous Music Composer                                     
1499    4305       772        Lightning                                                   
1500    4435       771        charge-station                                              
1501    5105       771        Math Problem                                                
1502    4251       770        The Famous ICPC Team Again                                  
1503    1144       769        Prerequisites?                                              
1504    1845       769        Jimmy’s Assignment                                          
1505    4119       769        Isabella's Message                                          
1506    5029       769        Relief grain                                                
1507    5311       769        Hidden String                                               
1508    5949       769        Relative atomic mass                                        
1509    4931       768        Happy Three Friends                                         
1510    1812       767        Count the Tetris                                            
1511    3756       766        Dome of Circus                                              
1512    4312       766        Meeting point-2                                             
1513    4550       766        卡片游戏                                                        
1514    1245       765        Saving James Bond                                           
1515    3491       765        Thieves                                                     
1516    5045       765        Contest                                                     
1517    4151       764        The Special Number                                          
1518    5108       764        Alexandra and Prime Numbers                                 
1519    1148       763        Rock-Paper-Scissors Tournament                              
1520    4370       763        0 or 1                                                      
1521    5835       763        Danganronpa                                                 
1522    4616       762        Game                                                        
1523    5418       759        Victor and World                                            
1524    1374       758        The Circumference of the Circle                             
1525    3641       757        Treasure Hunting                                            
1526    3567       755        Eight II                                                    
1527    4247       755        A Famous ICPC Team                                          
1528    5058       755        So easy                                                     
1529    3345       754        War Chess                                                   
1530    5182       754        PM2.5                                                       
1531    5543       754        Pick The Sticks                                             
1532    3724       753        Encoded Barcodes                                            
1533    4372       752        Count the Buildings                                         
1534    5384       752        Danganronpa                                                 
1535    5656       751        CA Loves GCD                                                
1536    5753       751        Permutation Bo                                              
1537    6015       750        Skip the Class                                              
1538    1868       749        Consecutive sum                                             
1539    4259       749        Double Dealing                                              
1540    5044       749        Tree                                                        
1541    2573       747        Typing                                                      
1542    4162       747        Shape Number                                                
1543    5748       747        Bellovin                                                    
1544    4741       746        Save Labman No.004                                          
1545    5615       746        Jam's math problem                                          
1546    5842       746        Lweb and String                                             
1547    6063       746        RXD and math                                                
1548    5387       745        Clock                                                       
1549    5325       744        Crazy Bobo                                                  
1550    3283       742        The Next Permutation                                        
1551    3980       742        Paint Chain                                                 
1552    4791       740        Alice's Print Service                                       
1553    4891       740        The Great Pan                                               
1554    4161       739        Iterated Difference                                         
1555    5695       739        Gym Class                                                   
1556    5821       739        Ball                                                        
1557    3124       738        Moonmist                                                    
1558    6066       737        RXD's date                                                  
1559    4427       736        Math Magic                                                  
1560    1292       735        "下沙野骆驼"ACM夏令营                                               
1561    2833       735        WuKong                                                      
1562    4125       735        Moles                                                       
1563    1704       734        Rank                                                        
1564    4740       734        The Donkey of Gui Zhou                                      
1565    4309       733        Seikimatsu Occult Tonneru                                   
1566    4568       733        Hunter                                                      
1567    4856       733        Tunnels                                                     
1568    5256       733        序列变换                                                        
1569    3908       732        Triple                                                      
1570    4070       732        Phage War                                                   
1571    5186       730        zhx's submissions                                           
1572    1667       729        The Rotation Game                                           
1573    3347       729        Calculate the expression                                    
1574    5024       728        Wang Xifeng's Little Plot                                   
1575    6050       728        Funny Function                                              
1576    4708       726        Rotation Lock Puzzle                                        
1577    3585       725        maximum shortest distance                                   
1578    3873       725        Invade the Mars                                             
1579    5670       725        Machine                                                     
1580    1067       724        Gap                                                         
1581    4941       724        Magical Forest                                              
1582    5750       723        Dertouzos                                                   
1583    1333       722        Smith Numbers                                               
1584    5768       721        Lucky7                                                      
1585    1110       720        Equipment Box                                               
1586    2234       720        无题I                                                         
1587    5336       720        XYZ and Drops                                               
1588    5907       718        Find Q                                                      
1589    2672       715        god is a girl                                               
1590    4068       715        SanguoSHA                                                   
1591    5375       715        Gray code                                                   
1592    5651       715        xiaoxin juju needs help                                     
1593    4293       714        Groups                                                      
1594    2572       713        终曲                                                          
1595    5142       713        NPY and FFT                                                 
1596    5606       713        tree                                                        
1597    4584       712        Building bridges                                            
1598    3220       711        Alice’s Cube                                                
1599    5417       711        Victor and Machine                                          
1600    5493       711        Queue                                                       
1601    2487       710        Ugly Windows                                                
1602    5645       710        DZY Loves Balls                                             
1603    1480       709        钥匙计数之二                                                      
1604    3934       709        Summer holiday                                              
1605    4473       709        Exam                                                        
1606    2451       708        Simple Addition Expression                                  
1607    2971       708        Tower                                                       
1608    3920       708        Clear All of Them I                                         
1609    4038       708        Stone                                                       
1610    4408       708        Minimum Spanning Tree                                       
1611    5241       707        Friends                                                     
1612    2458       706        Kindergarten                                                
1613    6112       706        今夕何夕                                                        
1614    4908       705        BestCoder Sequence                                          
1615    5883       704        The Best Path                                               
1616    6143       704        Killer Names                                                
1617    4618       703        Palindrome Sub-Array                                        
1618    5123       703        who is the best?                                            
1619    5366       703        The mook jong                                               
1620    3848       702        CC On The Tree                                              
1621    4146       702        Flip Game                                                   
1622    5802       702        Windows 10                                                  
1623    4453       701        Looploop                                                    
1624    5348       701        MZL's endless loop                                          
1625    2514       700        Another Eight Puzzle                                        
1626    5610       700        Baby Ming and Weight lifting                                
1627    4114       699        Disney's FastPass                                           
1628    5912       699        Fraction                                                    
1629    5979       698        Convex                                                      
1630    6127       698        Hard challenge                                              
1631    5046       697        Airport                                                     
1632    4961       696        Boring Sum                                                  
1633    5059       696        Help him                                                    
1634    5361       696        In Touch                                                    
1635    5698       696        瞬间移动                                                        
1636    5792       696        World is Exploding                                          
1637    3823       695        Prime Friend                                                
1638    4315       695        Climbing the Hill                                           
1639    5318       695        The Goddess Of The Moon                                     
1640    4731       694        Minimum palindrome                                          
1641    5054       694        Alice and Bob                                               
1642    6011       694        Lotus and Characters                                        
1643    1806       693        Frequent values                                             
1644    3663       693        Power Stations                                              
1645    5055       693        Bob and math problem                                        
1646    4525       692        威威猫系列故事――吃鸡腿                                                
1647    4849       692        Wow! Such City!                                             
1648    1839       691        Delay Constrained Maximum Capacity Path                     
1649    5248       691        序列变换                                                        
1650    6170       691        Two strings                                                 
1651    3357       690        Stock Chase                                                 
1652    4666       688        Hyperspace                                                  
1653    5542       688        The Battle of Chibi                                         
1654    6097       688        Mindis                                                      
1655    5416       687        CRB and Tree                                                
1656    5652       687        India and China Origins                                     
1657    1735       685        字数统计                                                        
1658    3277       685        Marriage Match III                                          
1659    4552       685        怪盗基德的挑战书                                                    
1660    2837       684        Calculation                                                 
1661    3499       684        Flight                                                      
1662    5926       684        Mr. Frog’s Game                                             
1663    2545       683        树上战争                                                        
1664    5761       683        Rower Bo                                                    
1665    2374       682        A Game with Marbles                                         
1666    5665       682        Lucky                                                       
1667    5308       681        I Wanna Become A 24-Point Master                            
1668    5701       681        中位数计数                                                       
1669    5882       681        Balanced Game                                               
1670    4681       680        String                                                      
1671    3511       679        Prison Break                                                
1672    4005       679        The war                                                     
1673    4804       679        Campus Design                                               
1674    2511       678        汉诺塔 X                                                       
1675    4750       675        Count The Pairs                                             
1676    1295       674        Move Move Look                                              
1677    1522       673        Marriage is Stable                                          
1678    1591       673        Encoded Love-letter                                         
1679    3629       673        Convex                                                      
1680    3996       672        Gold Mine                                                   
1681    2215       671        Maple trees                                                 
1682    4016       671        Magic Bitwise And Operation                                 
1683    4057       671        Rescue the Rabbit                                           
1684    5171       671        GTY's birthday gift                                         
1685    5207       671        Greatest Greatest Common Divisor                            
1686    5386       671        Cover                                                       
1687    1277       670        全文检索                                                        
1688    1329       670        Hanoi Tower Troubles Again!                                 
1689    5523       670        Game                                                        
1690    3118       669        Arbiter                                                     
1691    4823       669        Energy Conversion                                           
1692    1727       668        Hastiness                                                   
1693    4419       668        Colourful Rectangle                                         
1694    2757       667        Ocean Currents                                              
1695    5591       667        ZYB's Game                                                  
1696    5660       667        jrMz and angles                                             
1697    5704       667        Luck Competition                                            
1698    3061       666        Battle                                                      
1699    4862       666        Jump                                                        
1700    5706       666        GirlCat                                                     
1701    5982       666        Relic Discovery                                             
1702    4415       665        Assassin’s Creed                                            
1703    4588       665        Count The Carries                                           
1704    5280       665        Senior's Array                                              
1705    5671       665        Matrix                                                      
1706    3199       664        Hamming Problem                                             
1707    2128       663        Tempter of the Bone II                                      
1708    4939       662        Stupid Tower Defense                                        
1709    1327       660        Definite Values                                             
1710    1350       660        Taxi Cab Scheme                                             
1711    4357       660        String change                                               
1712    4960       660        Another OCD Patient                                         
1713    2515       659        Yanghee 的算术                                                 
1714    2526       658        浪漫手机                                                        
1715    1944       657        S-Nim                                                       
1716    3691       657        Nubulsa Expo                                                
1717    5685       657        Problem A                                                   
1718    2842       656        Chinese Rings                                               
1719    3078       656        Network                                                     
1720    4787       656        GRE Words Revenge                                           
1721    5355       656        Cake                                                        
1722    5672       656        String                                                      
1723    6214       656        Smallest Minimum Cut                                        
1724    5804       655        Price List                                                  
1725    5971       655        Wrestling Match                                             
1726    4547       654        CD操作                                                        
1727    5675       654        ztr loves math                                              
1728    1332       652        LC-Display                                                  
1729    5477       651        A Sweet Journey                                             
1730    4045       650        Machine scheduling                                          
1731    6016       650        Count the Sheep                                             
1732    4974       649        A simple water problem                                      
1733    1155       648        Bungee Jumping                                              
1734    3348       648        coins                                                       
1735    1841       647        Find the Shortest Common Superstring                        
1736    4036       647        Rolling Hongshu                                             
1737    4351       647        Digital root                                                
1738    4499       647        Cannon                                                      
1739    5774       647        Where Amazing Happens                                       
1740    3368       646        Reversi                                                     
1741    5198       646        Strange Class                                               
1742    4041       645        Eliminate Witches!                                          
1743    4393       645        Throw nails                                                 
1744    4631       645        Sad Love Story                                              
1745    5158       645        Have meal                                                   
1746    5190       645        Go to movies                                                
1747    5707       645        Combine String                                              
1748    1103       644        Flo's Restaurant                                            
1749    4359       644        Easy Tree DP?                                               
1750    6075       644        Questionnaire                                               
1751    5247       643        找连续数                                                        
1752    6077       643        Time To Get Up                                              
1753    1306       642        String Matching                                             
1754    2716       642        Message Decowding                                           
1755    5086       642        Revenge of Segment Tree                                     
1756    6027       642        Easy Summation                                              
1757    4067       641        Random Maze                                                 
1758    4380       641        Farmer Greedy                                               
1759    5092       641        Seam Carving                                                
1760    5631       641        Rikka with Graph                                            
1761    6105       641        Gameia                                                      
1762    4456       640        Crowd                                                       
1763    4571       640        Travel in time                                              
1764    4675       640        GCD of Sequence                                             
1765    5249       640        KPI                                                         
1766    5340       640        Three Palindromes                                           
1767    1902       639        The Dragon of Loowater                                      
1768    4322       639        Candy                                                       
1769    4757       639        Tree                                                        
1770    5787       639        K-wolf Number                                               
1771    5898       639        odd-even number                                             
1772    6023       639        Automatic Judge                                             
1773    4915       638        Parenthese sequence                                         
1774    5650       638        so easy                                                     
1775    5372       637        Segment Game                                                
1776    5245       635        Joyful                                                      
1777    5489       633        Removed Interval                                            
1778    2180       632        时钟                                                          
1779    4952       632        Number Transformation                                       
1780    5228       632        ZCC loves straight flush                                    
1781    4396       631        More lumber is required                                     
1782    3236       630        Gift Hunting                                                
1783    4826       630        Labyrinth                                                   
1784    5402       630        Travelling Salesman Problem                                 
1785    2262       629        Where is the canteen                                        
1786    2534       628        Score                                                       
1787    5082       628        Love                                                        
1788    4044       627        GeoDefense                                                  
1789    4927       627        Series 1                                                    
1790    5933       627        ArcSoft's Office Rearrangement                              
1791    2576       626        Another Sum Problem                                         
1792    3627       626        Giant For                                                   
1793    4714       626        Tree2cycle                                                  
1794    4989       626        Summary                                                     
1795    5067       626        Harry And Dig Machine                                       
1796    5050       625        Divided Land                                                
1797    3191       624        How Many Paths Are There                                    
1798    4848       624        Wow! Such Conquering!                                       
1799    5347       624        MZL's chemistry                                             
1800    5944       624        Fxx and string                                              
1801    6019       624        MG loves gold                                               
1802    2574       623        Hdu Girls' Day                                              
1803    2722       622        Here We Go(relians) Again                                   
1804    6182       622         A Math Problem                                             
1805    4258       621        Covered Walkway                                             
1806    4801       621        Pocket Cube                                                 
1807    5211       621        Mutiple                                                     
1808    5379       621        Mahjong tree                                                
1809    6113       621        度度熊的01世界                                                    
1810    2428       620        Stars                                                       
1811    2662       620        Coin                                                        
1812    3232       620        Crossing Rivers                                             
1813    4008       620        Parent and son                                              
1814    3552       619        I can do it!                                                
1815    3917       619        Road constructions                                          
1816    5365       619        Run                                                         
1817    1908       618        Double Queue                                                
1818    4028       618        The time of a day                                           
1819    4467       618        Graph                                                       
1820    5494       618        Card Game                                                   
1821    2740       617        Root of the Problem                                         
1822    4542       617        小明系列故事――未知剩余系                                               
1823    6025       617        Coprime Sequence                                            
1824    3311       616        Dig The Wells                                               
1825    3315       616        My Brute                                                    
1826    3389       616        Game                                                        
1827    5646       616        DZY Loves Partition                                         
1828    3421       615        Max Sum II                                                  
1829    3657       615        Game                                                        
1830    5166       615        Missing number                                              
1831    5965       615        扫雷                                                          
1832    4998       614        Rotate                                                      
1833    5237       614        Base64                                                      
1834    5769       614        Substring                                                   
1835    3105       612        Fred's Lotto Tickets                                        
1836    5463       611        Clarke and minecraft                                        
1837    1361       610        Parencodings                                                
1838    4015       610        Mario and Mushrooms                                         
1839    4365       610        Palindrome graph                                            
1840    5299       610        Circles Game                                                
1841    5018       609        Revenge of Fibonacci                                        
1842    5206       609        Four Inages Strategy                                        
1843    2821       608        Pusher                                                      
1844    5595       607        GTW likes math                                              
1845    2421       606        Deciphering Password                                        
1846    5816       606        Hearthstone                                                 
1847    6098       606        Inversion                                                   
1848    5056       604        Boring count                                                
1849    2668       603        Daydream                                                    
1850    4800       603        Josephina and RPG                                           
1851    5696       603        区间的价值                                                       
1852    4932       602        Miaomiao's Geometry                                         
1853    5101       602        Select                                                      
1854    5399       602        Too Simple                                                  
1855    6119       602        小小粉丝度度熊                                                     
1856    2675       601        Equation Again                                              
1857    5793       601        A Boring Question                                           
1858    2460       600        Network                                                     
1859    3405       600        World Islands                                               
1860    4049       600        Tourism Planning                                            
1861    4572       600        Bottles Arrangement                                         
1862    5396       599        Expression                                                  
1863    5919       598        Sequence II                                                 
1864    1304       597        A Contesting Decision                                       
1865    3181       597        Greatest Naruto Army                                        
1866    5642       597        King's Order                                                
1867    6071       597        Lazy Running                                                
1868    2800       595        Adding Edges                                                
1869    5961       595        传递                                                          
1870    6044       595        Limited Permutation                                         
1871    3328       594        Flipper                                                     
1872    5296       594        Annoying problem                                            
1873    5392       594        Infoplane in Tina Town                                      
1874    4390       593        Number Sequence                                             
1875    5202       593        Rikka with string                                           
1876    1529       592        Cashier Employment                                          
1877    3474       592        Necklace                                                    
1878    4371       591        Alice and Bob                                               
1879    5828       591        Rikka with Sequence                                         
1880    3420       590        Bus Fair                                                    
1881    4061       590        A Card Game                                                 
1882    5680       589        zxa and set                                                 
1883    6095       589        Rikka with Competition                                      
1884    5146       588        Sequence                                                    
1885    5293       588        Tree chain problem                                          
1886    1246       587        自共轭Ferrers图                                                 
1887    1963       587        Investment                                                  
1888    3231       587        Box Relations                                               
1889    3686       587        Traffic Real Time Query System                              
1890    3910       587        Liang Guo Sha                                               
1891    4975       587        A simple Gaussian elimination problem.                      
1892    6124       587        Euler theorem                                               
1893    1308       586        What Day Is It?                                             
1894    5381       586        The sum of gcd                                              
1895    5611       586        Baby Ming and phone number                                  
1896    5087       585        Revenge of LIS II                                           
1897    6181       585        Two Paths                                                   
1898    3255       584        Farming                                                     
1899    3694       584        Fermat Point in Quadrangle                                  
1900    3793       584        Is It Symmetric                                             
1901    3870       583        Catch the Theves                                            
1902    5451       583        Best Solver                                                 
1903    5894       583        hannnnah_j’s Biological Test                                
1904    4866       582        Shooting                                                    
1905    5505       582        GT and numbers                                              
1906    5620       582        KK's Steel                                                  
1907    5730       582        Shell Necklace                                              
1908    5874       582        Friends and Enemies                                         
1909    2491       581        Priest John's Busiest Day                                   
1910    3656       581        Fire station                                                
1911    5093       581        Battle ships                                                
1912    6090       581        Rikka with Graph                                            
1913    3979       580        Monster                                                     
1914    5127       580        Dogs' Candies                                               
1915    5531       580        Rebuild                                                     
1916    5636       580        Shortest Path                                               
1917    5688       580        Problem D                                                   
1918    1725       579        Find minimal sum                                            
1919    3564       579        Another LIS                                                 
1920    1732       578        Push Box                                                    
1921    5480       577        Conturbatio                                                 
1922    2964       576        Prime Bases                                                 
1923    3268       576        Columbus’s bargain                                          
1924    4968       576        Improving the GPA                                           
1925    5194       576        DZY Loves Balls                                             
1926    5605       576        geometry                                                    
1927    5869       576        Different GCD Subarray Query                                
1928    4850       574        Wow! Such String!                                           
1929    4981       574        Goffi and Median                                            
1930    5191       574        Building Blocks                                             
